,lecture,score,knowledge,science,narrative,charisma,fun,video_sound,slides,understanding,in_15x4
0,disney,4,2,1,5,4,5,4,5,4,1
1,aids,4,4,5,5,4,4,4,4,5,1
2,immortality,2,3,4,2,2,2,2,2,1,1
3,disney,2,2,1,3,4,4,4,3,1,1
4,vikings,4,4,3,5,4,4,3,4,4,1
5,antibiotics,5,5,5,4,4,3,4,4,5,1
6,monkey,4,4,4,3,4,4,5,4,4,1
7,monkey,5,5,5,4,5,5,4,3,4,0
8,immortality,4,5,4,4,3,4,4,4,4,0
9,economics,5,4,4,5,4,5,4,3,4,0
10,disney,5,4,3,5,5,5,4,5,4,0
11,pain,5,4,4,5,5,5,4,4,5,0
12,aids,4,4,5,4,5,3,5,3,4,1
13,pain,4,4,5,4,5,5,5,5,4,0
14,pain,3,2,3,3,4,4,4,4,3,0
15,disney,2,1,1,4,3,3,3,2,3,0
16,pain,4,5,5,5,5,4,4,4,5,0
17,disney,4,4,5,5,4,5,3,5,5,0
18,vikings,5,5,4,4,5,4,4,4,5,1
19,monkey,5,5,5,5,5,5,5,5,5,1
20,economics,1,1,1,3,2,2,3,2,3,1
21,monkey,5,5,5,4,3,3,4,5,5,1
22,disney,4,4,3,4,4,4,2,4,4,1
23,disney,2,2,3,4,5,5,4,4,5,0
24,aids,2,3,4,5,3,3,4,5,4,0
25,monkey,5,5,5,5,4,5,5,3,4,1
26,antibiotics,3,2,4,5,1,2,5,4,5,1
27,vikings,3,4,4,4,4,4,2,3,5,1
28,aids,4,5,5,4,3,3,3,1,5,0
29,aids,4,5,5,4,3,2,2,1,5,0
30,economics,4,3,3,3,3,5,3,3,4,0
31,monkey,5,5,4,5,4,5,4,4,4,0
32,pain,5,5,5,5,5,4,4,5,5,0
33,monkey,3,4,5,3,3,3,4,3,4,1
34,pain,3,3,3,4,3,3,5,4,4,0
35,economics,4,4,4,4,4,4,2,3,5,0
36,economics,4,4,4,4,4,4,2,3,5,0
37,economics,4,4,4,4,4,4,2,3,5,0
38,pain,4,4,4,5,5,5,5,5,4,0
39,immortality,4,5,4,3,4,4,3,4,4,0
40,monkey,4,4,3,4,4,5,5,5,4,0
41,disney,5,5,5,4,4,5,4,4,5,0
42,monkey,5,5,5,4,4,5,4,4,4,1
43,pain,2,3,5,4,4,2,4,4,4,0
44,antibiotics,3,3,4,4,3,2,4,3,4,0
45,pain,4,3,5,4,4,4,5,3,5,1
46,antibiotics,5,5,5,5,5,5,2,5,5,0
47,disney,4,4,4,5,5,4,2,3,4,1
48,pain,3,4,3,3,4,3,5,4,3,0
49,pain,4,4,4,4,3,4,5,5,5,0
50,vikings,5,5,5,5,5,5,2,4,5,1
51,monkey,5,4,4,3,5,4,4,4,5,0
52,monkey,5,5,5,5,4,4,5,4,4,0
53,pain,4,4,4,3,2,4,5,4,4,0
54,disney,5,4,4,5,5,5,4,5,5,0
55,pain,4,4,5,3,4,2,5,4,5,0
56,disney,5,4,3,4,5,5,2,5,5,0
57,disney,5,4,4,4,5,5,2,3,3,0
58,aids,4,4,4,5,3,3,3,1,3,1
59,pain,4,5,4,5,4,4,4,4,5,1
60,antibiotics,5,5,4,5,4,4,4,5,5,1
61,disney,4,3,4,4,4,4,4,4,5,1
62,disney,4,4,3,4,5,5,2,3,4,1
63,antibiotics,5,4,5,5,4,4,5,4,4,0
64,economics,3,3,3,3,3,2,2,4,3,0
65,vikings,3,2,3,2,3,2,3,3,4,0
66,pain,4,3,5,4,5,2,2,4,5,1
67,monkey,4,3,4,5,3,2,4,5,5,0
68,aids,5,5,3,2,5,5,5,3,3,1
69,economics,4,4,4,4,3,5,2,3,4,0
70,aids,4,2,4,4,3,4,4,3,4,0
